"Vendas","PreçoConcorrente","Renda","Publicidade","População","Preço","LocPrateleira","Idade","Educação","Urbano","EUA"
6.85,143,81,5,60,154,"Medio",61,18,"Sim","Sim"
11.91,133,82,0,54,84,"Medio",50,17,"Sim","Nao"
0.91,93,91,0,22,117,"Ruim",75,11,"Sim","Nao"
5.42,103,93,15,188,103,"Ruim",74,16,"Sim","Sim"
5.21,118,71,4,148,114,"Medio",80,13,"Sim","Nao"
8.32,122,102,19,469,123,"Ruim",29,13,"Sim","Sim"
7.32,105,32,0,358,107,"Medio",26,13,"Nao","Nao"
1.82,139,45,0,146,133,"Ruim",77,17,"Sim","Sim"
8.47,119,88,10,170,101,"Medio",61,13,"Sim","Sim"
7.8,100,67,12,184,104,"Medio",32,16,"Nao","Sim"
4.9,122,26,0,197,128,"Medio",55,13,"Nao","Nao"
8.85,127,92,0,508,91,"Medio",56,18,"Sim","Nao"
9.01,126,61,14,152,115,"Medio",47,16,"Sim","Sim"
13.39,149,69,20,366,134,"Bom",60,13,"Sim","Sim"
7.99,127,59,0,339,99,"Medio",65,12,"Sim","Nao"
9.46,89,81,15,237,99,"Bom",74,12,"Sim","Sim"
6.5,148,51,16,148,150,"Medio",58,17,"Nao","Sim"
5.52,115,45,0,432,116,"Medio",25,15,"Sim","Nao"
12.61,118,90,10,54,104,"Bom",31,11,"Nao","Sim"
6.2,150,68,5,125,136,"Medio",64,13,"Nao","Sim"
8.55,88,111,23,480,92,"Ruim",36,16,"Nao","Sim"
10.64,102,87,10,346,70,"Medio",64,15,"Sim","Sim"
7.7,118,71,12,44,89,"Medio",67,18,"Nao","Sim"
4.43,134,48,1,139,145,"Medio",65,12,"Sim","Sim"
9.14,134,67,0,286,90,"Ruim",41,13,"Sim","Nao"
8.01,113,100,16,353,79,"Ruim",68,11,"Sim","Sim"
7.52,116,72,0,237,128,"Bom",70,13,"Sim","Nao"
11.62,151,83,4,325,139,"Bom",28,17,"Sim","Sim"
4.42,109,36,7,468,94,"Ruim",56,11,"Sim","Sim"
2.23,111,25,0,52,121,"Ruim",43,18,"Nao","Nao"
8.47,125,103,0,304,112,"Medio",49,13,"Nao","Nao"
8.7,150,84,9,432,134,"Medio",64,15,"Sim","Nao"
11.7,131,67,7,272,126,"Bom",54,16,"Nao","Sim"
6.56,117,42,7,144,111,"Medio",62,10,"Sim","Sim"
7.95,128,66,3,493,119,"Medio",45,16,"Nao","Nao"
5.33,115,22,0,491,103,"Medio",64,11,"Nao","Nao"
4.81,97,46,11,267,107,"Medio",80,15,"Sim","Sim"
4.53,114,113,0,97,125,"Medio",29,12,"Sim","Nao"
8.86,145,30,0,67,104,"Medio",55,17,"Sim","Nao"
8.39,115,97,5,134,84,"Ruim",55,11,"Sim","Sim"
5.58,134,25,10,237,148,"Medio",59,13,"Sim","Sim"
9.48,147,42,10,407,132,"Bom",73,16,"Nao","Sim"
7.45,161,82,5,287,129,"Ruim",33,16,"Sim","Sim"
12.49,122,77,24,382,127,"Bom",36,16,"Nao","Sim"
4.88,121,47,3,220,107,"Ruim",56,16,"Nao","Sim"
4.11,113,69,11,94,106,"Medio",76,12,"Nao","Sim"
6.2,128,93,0,89,118,"Medio",34,18,"Sim","Nao"
5.3,113,22,0,57,97,"Medio",65,16,"Nao","Nao"
5.07,123,91,0,334,96,"Ruim",78,17,"Sim","Sim"
4.62,121,96,0,472,138,"Medio",51,12,"Sim","Nao"
5.55,104,100,8,398,97,"Medio",61,11,"Sim","Sim"
0.16,102,33,0,217,139,"Medio",70,18,"Nao","Nao"
8.55,134,107,0,104,108,"Medio",60,12,"Sim","Nao"
3.47,107,79,2,488,103,"Ruim",65,16,"Sim","Nao"
8.98,115,65,0,217,90,"Medio",60,17,"Nao","Nao"
9,128,62,7,125,116,"Medio",43,14,"Sim","Sim"
6.62,132,118,12,272,151,"Medio",43,14,"Sim","Sim"
6.67,116,99,5,298,125,"Bom",62,12,"Sim","Sim"
6.01,131,29,11,335,127,"Ruim",33,12,"Sim","Sim"
9.31,122,87,9,17,106,"Medio",65,13,"Sim","Sim"
8.54,139,35,0,95,129,"Medio",42,13,"Sim","Nao"
5.08,135,75,0,202,128,"Medio",80,10,"Nao","Nao"
8.8,145,53,0,507,119,"Medio",41,12,"Sim","Nao"
7.57,112,88,2,243,99,"Medio",62,11,"Sim","Sim"
7.37,130,94,8,137,128,"Medio",64,12,"Sim","Sim"
6.87,128,105,11,249,131,"Medio",63,13,"Sim","Sim"
11.67,125,89,10,380,87,"Ruim",28,10,"Sim","Sim"
6.88,119,100,5,45,108,"Medio",75,10,"Sim","Sim"
8.19,127,103,0,125,155,"Bom",29,15,"Nao","Sim"
8.87,131,113,0,181,120,"Bom",63,14,"Sim","Nao"
9.34,89,78,0,181,49,"Medio",43,15,"Nao","Nao"
11.27,153,68,2,60,133,"Bom",59,16,"Sim","Sim"
6.52,125,48,3,192,116,"Medio",51,14,"Sim","Sim"
4.96,133,100,3,350,126,"Ruim",55,13,"Sim","Sim"
4.47,143,120,7,279,147,"Ruim",40,10,"Nao","Sim"
8.41,94,84,13,497,77,"Medio",51,12,"Sim","Sim"
6.5,108,69,3,208,94,"Medio",77,16,"Sim","Nao"
9.54,125,87,9,232,136,"Bom",72,10,"Sim","Sim"
7.62,132,98,2,265,97,"Ruim",62,12,"Sim","Sim"
3.67,132,31,0,327,131,"Medio",76,16,"Sim","Nao"
6.44,96,94,14,384,120,"Medio",36,18,"Nao","Sim"
5.17,131,75,0,10,120,"Ruim",31,18,"Nao","Nao"
6.52,128,42,0,436,118,"Medio",80,11,"Sim","Nao"
10.27,125,103,12,371,109,"Medio",44,10,"Sim","Sim"
12.3,146,62,10,310,94,"Medio",30,13,"Nao","Sim"
6.03,133,60,10,277,129,"Medio",45,18,"Sim","Sim"
6.53,140,42,0,331,131,"Ruim",28,15,"Sim","Nao"
7.44,124,84,0,300,104,"Medio",77,15,"Sim","Nao"
0.53,122,88,7,36,159,"Ruim",28,17,"Sim","Sim"
9.09,132,68,0,264,123,"Bom",34,11,"Nao","Nao"
8.77,144,63,11,27,117,"Medio",47,17,"Sim","Sim"
3.9,114,83,0,412,131,"Ruim",39,14,"Sim","Nao"
10.51,140,54,9,402,119,"Bom",41,16,"Nao","Sim"
7.56,110,119,0,384,97,"Medio",72,14,"Nao","Sim"
11.48,121,120,13,140,87,"Medio",56,11,"Sim","Sim"
10.49,122,84,8,176,114,"Bom",57,10,"Nao","Sim"
10.77,111,58,17,407,103,"Bom",75,17,"Nao","Sim"
7.64,128,78,0,341,128,"Bom",45,13,"Nao","Nao"
5.93,150,36,7,488,150,"Medio",25,17,"Nao","Sim"
6.89,129,69,10,289,110,"Medio",50,16,"Nao","Sim"
7.71,98,72,0,59,69,"Medio",65,16,"Sim","Nao"
7.49,146,34,0,220,157,"Bom",51,16,"Sim","Nao"
10.21,121,58,8,249,90,"Medio",48,13,"Nao","Sim"
12.53,142,90,1,189,112,"Bom",39,10,"Nao","Sim"
9.32,119,60,0,372,70,"Ruim",30,18,"Nao","Nao"
4.67,111,28,0,486,111,"Medio",29,12,"Nao","Nao"
2.93,143,21,5,81,160,"Medio",67,12,"Nao","Sim"
3.63,122,74,0,424,149,"Medio",51,13,"Sim","Nao"
5.68,130,64,0,40,106,"Ruim",39,17,"Nao","Nao"
8.22,148,64,0,58,141,"Medio",27,13,"Nao","Sim"
0.37,147,58,7,100,191,"Ruim",27,15,"Sim","Sim"
6.71,119,67,17,151,137,"Medio",55,11,"Sim","Sim"
6.71,106,73,0,216,93,"Medio",60,13,"Sim","Nao"
7.3,129,89,0,425,117,"Medio",45,10,"Sim","Nao"
11.48,104,41,15,492,77,"Bom",73,18,"Sim","Sim"
8.01,128,39,12,356,118,"Medio",71,10,"Sim","Sim"
12.49,93,106,12,416,55,"Medio",75,15,"Sim","Sim"
9.03,104,102,13,123,110,"Bom",35,16,"Sim","Sim"
6.38,135,91,5,207,128,"Medio",66,18,"Sim","Sim"
0,139,24,0,358,185,"Medio",79,15,"Nao","Nao"
7.54,115,89,0,38,122,"Medio",25,12,"Sim","Nao"
5.61,138,107,9,480,154,"Medio",47,11,"Nao","Sim"
10.48,138,72,0,148,94,"Medio",27,17,"Sim","Sim"
10.66,104,71,14,89,81,"Medio",25,14,"Nao","Sim"
7.78,144,25,3,70,116,"Medio",77,18,"Sim","Sim"
4.94,137,112,15,434,149,"Ruim",66,13,"Sim","Sim"
7.43,121,83,0,79,91,"Medio",68,11,"Sim","Nao"
4.74,137,60,4,230,140,"Ruim",25,13,"Sim","Nao"
5.32,118,74,6,426,102,"Medio",80,18,"Sim","Sim"
9.95,132,33,7,35,97,"Medio",60,11,"Nao","Sim"
10.07,130,100,11,449,107,"Medio",64,10,"Sim","Sim"
8.68,120,51,0,93,86,"Medio",46,17,"Nao","Nao"
6.03,117,32,0,142,96,"Ruim",62,17,"Sim","Nao"
8.07,116,37,0,426,90,"Medio",76,15,"Sim","Nao"
12.11,118,117,18,509,104,"Medio",26,15,"Nao","Sim"
8.79,130,37,13,297,101,"Medio",37,13,"Nao","Sim"
6.67,156,42,13,170,173,"Bom",74,14,"Sim","Sim"
7.56,108,26,0,408,93,"Medio",56,14,"Nao","Nao"
13.28,139,70,7,71,96,"Bom",61,10,"Sim","Sim"
7.23,112,98,18,481,128,"Medio",45,11,"Sim","Sim"
4.19,117,93,4,420,112,"Ruim",66,11,"Sim","Sim"
4.1,130,28,6,410,133,"Ruim",72,16,"Sim","Sim"
2.52,124,61,0,333,138,"Medio",76,16,"Sim","Nao"
3.62,112,80,5,500,128,"Medio",69,10,"Sim","Sim"
6.42,122,88,5,335,126,"Medio",64,14,"Sim","Sim"
5.56,144,92,0,349,146,"Medio",62,12,"Nao","Nao"
5.94,138,83,0,139,134,"Medio",54,18,"Sim","Nao"
4.1,121,78,4,413,130,"Ruim",46,10,"Nao","Sim"
2.05,131,82,0,132,157,"Ruim",25,14,"Sim","Nao"
8.74,155,80,0,237,124,"Medio",37,14,"Sim","Nao"
5.68,113,22,1,317,132,"Medio",28,12,"Sim","Nao"
4.97,162,67,0,27,160,"Medio",77,17,"Sim","Sim"
8.19,111,105,0,466,97,"Ruim",61,10,"Nao","Nao"
7.78,86,54,0,497,64,"Ruim",33,12,"Sim","Nao"
3.02,98,21,11,326,90,"Ruim",76,11,"Nao","Sim"
4.36,125,41,2,357,123,"Ruim",47,14,"Nao","Sim"
9.39,117,118,14,445,120,"Medio",32,15,"Sim","Sim"
12.04,145,69,19,501,105,"Medio",45,11,"Sim","Sim"
8.23,149,84,5,220,139,"Medio",33,10,"Sim","Sim"
4.83,115,115,3,48,107,"Medio",73,18,"Sim","Sim"
2.34,116,83,15,170,144,"Ruim",71,11,"Sim","Sim"
5.73,141,33,0,243,144,"Medio",34,17,"Sim","Nao"
4.34,106,44,0,481,111,"Medio",70,14,"Nao","Nao"
9.7,138,61,12,156,120,"Medio",25,14,"Sim","Sim"
10.62,116,79,19,359,116,"Bom",58,17,"Sim","Sim"
10.59,131,120,15,262,124,"Medio",30,10,"Sim","Sim"
6.43,124,44,0,125,107,"Medio",80,11,"Sim","Nao"
7.49,136,119,6,178,145,"Medio",35,13,"Sim","Sim"
3.45,110,45,9,276,125,"Medio",62,14,"Sim","Sim"
4.1,134,82,0,464,141,"Medio",48,13,"Nao","Nao"
6.68,107,25,0,412,82,"Ruim",36,14,"Sim","Nao"
7.8,119,33,0,245,122,"Bom",56,14,"Sim","Nao"
8.69,113,64,10,68,101,"Medio",57,16,"Sim","Sim"
5.4,149,73,13,381,163,"Ruim",26,11,"Nao","Sim"
11.19,98,104,0,404,72,"Medio",27,18,"Nao","Nao"
5.16,115,60,0,119,114,"Ruim",38,14,"Nao","Nao"
8.09,132,69,0,123,122,"Medio",27,11,"Nao","Nao"
13.14,137,80,10,24,105,"Bom",61,15,"Sim","Sim"
8.65,123,76,18,218,120,"Medio",29,14,"Nao","Sim"
9.43,115,62,11,289,129,"Bom",56,16,"Nao","Sim"
5.53,126,32,8,95,132,"Medio",50,17,"Sim","Sim"
9.32,141,34,16,361,108,"Medio",69,10,"Sim","Sim"
9.62,151,28,8,499,135,"Medio",48,10,"Sim","Sim"
7.36,121,24,0,200,133,"Bom",73,13,"Sim","Nao"
3.89,123,105,0,149,118,"Ruim",62,16,"Sim","Sim"
10.31,159,80,0,362,121,"Medio",26,18,"Sim","Nao"
12.01,136,63,0,160,94,"Medio",38,12,"Sim","Nao"
4.68,124,46,0,199,135,"Medio",52,14,"Nao","Nao"
7.82,124,25,13,87,110,"Medio",57,10,"Sim","Sim"
8.78,130,30,0,391,100,"Medio",26,18,"Sim","Nao"
10,114,43,0,199,88,"Bom",57,10,"Nao","Sim"
6.9,120,56,20,266,90,"Ruim",78,18,"Sim","Sim"
5.04,123,114,0,298,151,"Ruim",34,16,"Sim","Nao"
5.36,111,52,0,12,101,"Medio",61,11,"Sim","Sim"
5.05,125,67,0,86,117,"Ruim",65,11,"Sim","Nao"
9.16,137,105,10,435,156,"Bom",72,14,"Sim","Sim"
3.72,139,111,5,310,132,"Ruim",62,13,"Sim","Sim"
8.31,133,97,0,70,117,"Medio",32,16,"Sim","Nao"
5.64,124,24,5,288,122,"Medio",57,12,"Nao","Sim"
9.58,108,104,23,353,129,"Bom",37,17,"Sim","Sim"
7.71,123,81,8,198,81,"Ruim",80,15,"Sim","Sim"
4.2,147,40,0,277,144,"Medio",73,10,"Sim","Nao"
8.67,125,62,14,477,112,"Medio",80,13,"Sim","Sim"
3.47,108,38,0,251,81,"Ruim",72,14,"Nao","Nao"
5.12,123,36,10,467,100,"Ruim",74,11,"Nao","Sim"
7.67,129,117,8,400,101,"Ruim",36,10,"Sim","Sim"
5.71,121,42,4,188,118,"Medio",54,15,"Sim","Sim"
6.37,120,77,15,86,132,"Medio",48,18,"Sim","Sim"
7.77,116,26,6,434,115,"Medio",25,17,"Sim","Sim"
6.95,128,29,5,324,159,"Bom",31,15,"Sim","Sim"
5.31,130,35,10,402,129,"Ruim",39,17,"Sim","Sim"
9.1,128,93,12,343,112,"Bom",73,17,"Nao","Sim"
5.83,134,82,7,473,112,"Ruim",51,12,"Nao","Sim"
6.53,123,57,0,66,105,"Medio",39,11,"Sim","Nao"
5.01,159,69,0,438,166,"Medio",46,17,"Sim","Nao"
11.99,119,26,0,284,89,"Bom",26,10,"Sim","Nao"
4.55,111,56,0,504,110,"Medio",62,16,"Sim","Nao"
12.98,113,33,0,14,63,"Bom",38,12,"Sim","Nao"
10.04,116,106,8,244,86,"Medio",58,12,"Sim","Sim"
7.22,135,93,2,67,119,"Medio",34,11,"Sim","Sim"
6.67,107,119,11,210,132,"Medio",53,11,"Sim","Sim"
6.93,135,69,14,296,130,"Medio",73,15,"Sim","Sim"
7.8,136,48,12,326,125,"Medio",36,16,"Sim","Sim"
7.22,114,113,2,129,151,"Bom",40,15,"Nao","Sim"
3.42,141,57,13,376,158,"Medio",64,18,"Sim","Sim"
2.86,121,86,10,496,145,"Ruim",51,10,"Sim","Sim"
11.19,122,69,7,303,105,"Bom",45,16,"Nao","Sim"
7.74,150,96,0,80,154,"Bom",61,11,"Sim","Nao"
5.36,135,110,0,112,117,"Medio",80,16,"Nao","Nao"
6.97,106,46,11,414,96,"Ruim",79,17,"Nao","Nao"
7.6,146,26,11,261,131,"Medio",39,10,"Sim","Sim"
7.53,117,118,11,429,113,"Medio",67,18,"Nao","Sim"
6.88,95,44,4,208,72,"Ruim",44,17,"Sim","Sim"
6.98,116,40,0,74,97,"Medio",76,15,"Nao","Nao"
8.75,143,77,25,448,156,"Medio",43,17,"Sim","Sim"
9.49,107,111,14,400,103,"Medio",41,11,"Nao","Sim"
6.64,118,70,0,106,89,"Ruim",39,17,"Sim","Nao"
11.82,113,66,16,322,74,"Bom",76,15,"Sim","Sim"
11.28,123,84,0,74,89,"Bom",59,10,"Sim","Nao"
12.66,148,76,3,126,99,"Bom",60,11,"Sim","Sim"
4.21,118,35,14,502,137,"Medio",79,10,"Nao","Sim"
8.21,127,44,13,160,123,"Bom",63,18,"Sim","Sim"
3.07,118,83,13,276,104,"Ruim",75,10,"Sim","Sim"
10.98,148,63,0,312,130,"Bom",63,15,"Sim","Nao"
9.4,135,40,17,497,96,"Medio",54,17,"Nao","Sim"
8.57,116,78,1,158,99,"Medio",45,11,"Sim","Sim"
7.41,99,93,0,198,87,"Medio",57,16,"Sim","Sim"
5.28,108,77,13,388,110,"Ruim",74,14,"Sim","Sim"
10.01,133,52,16,290,99,"Medio",43,11,"Sim","Sim"
11.93,123,98,12,408,134,"Bom",29,10,"Sim","Sim"
8.03,115,29,26,394,132,"Medio",33,13,"Sim","Sim"
4.78,131,32,1,85,133,"Medio",48,12,"Sim","Sim"
5.9,138,92,0,13,120,"Ruim",61,12,"Sim","Nao"
9.24,126,80,19,436,126,"Medio",52,10,"Sim","Sim"
11.18,131,111,13,33,80,"Ruim",68,18,"Sim","Sim"
9.53,175,65,29,419,166,"Medio",53,12,"Sim","Sim"
6.15,146,68,12,328,132,"Ruim",51,14,"Sim","Sim"
6.8,137,117,5,337,135,"Ruim",38,10,"Sim","Sim"
9.33,103,81,3,491,54,"Medio",66,13,"Sim","Nao"
7.72,133,33,10,333,129,"Bom",71,14,"Sim","Sim"
6.39,131,21,8,220,171,"Bom",29,14,"Sim","Sim"
15.63,122,36,5,369,72,"Bom",35,10,"Sim","Sim"
6.41,142,30,0,472,136,"Bom",80,15,"Nao","Nao"
10.08,116,72,10,456,130,"Bom",41,14,"Nao","Sim"
6.97,127,45,19,459,129,"Medio",57,11,"Nao","Sim"
5.86,136,70,12,171,152,"Medio",44,18,"Sim","Sim"
7.52,123,39,5,499,98,"Medio",34,15,"Sim","Nao"
9.16,140,50,10,300,139,"Bom",60,15,"Sim","Sim"
10.36,107,105,18,428,103,"Medio",34,12,"Sim","Sim"
2.66,136,65,4,133,150,"Ruim",53,13,"Sim","Sim"
11.7,144,69,11,131,104,"Medio",47,11,"Sim","Sim"
4.69,133,30,0,152,122,"Medio",53,17,"Sim","Nao"
6.23,112,38,17,316,104,"Medio",80,16,"Sim","Sim"
3.15,117,66,1,65,111,"Ruim",55,11,"Sim","Sim"
11.27,100,54,9,433,89,"Bom",45,12,"Sim","Sim"
4.99,122,59,0,501,112,"Ruim",32,14,"Nao","Nao"
10.1,135,63,15,213,134,"Medio",32,10,"Sim","Sim"
5.74,106,33,20,354,104,"Medio",61,12,"Sim","Sim"
5.87,136,60,7,303,147,"Medio",41,10,"Sim","Sim"
7.63,93,117,9,489,83,"Ruim",42,13,"Sim","Sim"
6.18,120,70,15,464,110,"Medio",72,15,"Sim","Sim"
5.17,138,35,6,60,143,"Ruim",28,18,"Sim","Nao"
8.61,130,38,0,283,102,"Medio",80,15,"Sim","Nao"
5.97,112,24,0,164,101,"Medio",45,11,"Sim","Nao"
11.54,134,44,4,219,126,"Bom",44,15,"Sim","Sim"
7.5,140,29,0,105,91,"Ruim",43,16,"Sim","Nao"
7.38,98,120,0,268,93,"Medio",72,10,"Nao","Nao"
7.81,137,102,13,422,118,"Medio",71,10,"Nao","Sim"
5.99,117,42,10,371,121,"Ruim",26,14,"Sim","Sim"
8.43,138,80,0,108,126,"Bom",70,13,"Nao","Sim"
4.81,121,68,0,279,149,"Bom",79,12,"Sim","Nao"
8.97,132,107,0,144,125,"Medio",33,13,"Nao","Nao"
6.88,96,39,0,161,112,"Bom",27,14,"Nao","Nao"
12.57,132,102,20,459,107,"Bom",49,11,"Sim","Sim"
9.32,134,27,18,467,96,"Medio",49,14,"Nao","Sim"
8.64,111,101,17,266,91,"Medio",63,17,"Nao","Sim"
10.44,124,115,16,458,105,"Medio",62,16,"Nao","Sim"
13.44,133,103,14,288,122,"Bom",61,17,"Sim","Sim"
9.45,107,67,12,430,92,"Medio",35,12,"Nao","Sim"
5.3,133,31,1,80,145,"Medio",42,18,"Sim","Sim"
7.02,130,100,0,306,146,"Bom",42,11,"Sim","Nao"
3.58,142,109,0,111,164,"Bom",72,12,"Sim","Nao"
13.36,103,73,3,276,72,"Medio",34,15,"Sim","Sim"
4.17,123,96,10,71,118,"Ruim",69,11,"Sim","Sim"
3.13,130,62,11,396,130,"Ruim",66,14,"Sim","Sim"
8.77,118,86,7,265,114,"Bom",52,15,"Nao","Sim"
8.68,131,25,10,183,104,"Medio",56,15,"Nao","Sim"
5.25,131,55,0,26,110,"Ruim",79,12,"Sim","Sim"
10.26,111,75,1,377,108,"Bom",25,12,"Sim","Nao"
10.5,122,21,16,488,131,"Bom",30,14,"Sim","Sim"
6.53,154,30,0,122,162,"Medio",57,17,"Nao","Nao"
5.98,124,56,11,447,134,"Medio",53,12,"Nao","Sim"
14.37,95,106,0,256,53,"Bom",52,17,"Sim","Nao"
10.71,109,22,10,348,79,"Bom",74,14,"Nao","Sim"
10.26,135,100,22,463,122,"Medio",36,14,"Sim","Sim"
7.68,126,41,22,403,119,"Ruim",42,12,"Sim","Sim"
9.08,152,81,0,191,126,"Medio",54,16,"Sim","Nao"
7.8,121,50,0,508,98,"Medio",65,11,"Nao","Nao"
5.58,137,71,0,402,116,"Medio",78,17,"Sim","Nao"
9.44,131,47,7,90,118,"Medio",47,12,"Sim","Sim"
7.9,132,46,4,206,124,"Medio",73,11,"Sim","Nao"
16.27,141,60,19,319,92,"Bom",44,11,"Sim","Sim"
6.81,132,61,0,263,125,"Medio",41,12,"Nao","Nao"
6.11,133,88,3,105,119,"Medio",79,12,"Sim","Sim"
5.81,125,111,0,404,107,"Ruim",54,15,"Sim","Nao"
9.64,106,64,10,17,89,"Medio",68,17,"Sim","Sim"
3.9,124,65,21,496,151,"Ruim",77,13,"Sim","Sim"
4.95,121,28,19,315,121,"Medio",66,14,"Sim","Sim"
9.35,98,117,0,76,68,"Medio",63,10,"Sim","Nao"
12.85,123,37,15,348,112,"Bom",28,12,"Sim","Sim"
5.87,131,73,13,455,132,"Medio",62,17,"Sim","Sim"
5.32,152,116,0,170,160,"Medio",39,16,"Sim","Nao"
8.67,142,73,14,238,115,"Medio",73,14,"Nao","Sim"
8.14,135,89,11,245,78,"Ruim",79,16,"Sim","Sim"
8.44,128,42,8,328,107,"Medio",35,12,"Sim","Sim"
5.47,108,75,9,61,111,"Medio",67,12,"Sim","Sim"
6.1,153,63,0,49,124,"Ruim",56,16,"Sim","Nao"
4.53,129,42,13,315,130,"Ruim",34,13,"Sim","Sim"
5.57,109,51,10,26,120,"Medio",30,17,"Nao","Sim"
5.35,130,58,19,366,139,"Ruim",33,16,"Sim","Sim"
12.57,138,108,17,203,128,"Bom",33,14,"Sim","Sim"
6.14,139,23,3,37,120,"Medio",55,11,"Nao","Sim"
7.41,162,26,12,368,159,"Medio",40,18,"Sim","Sim"
5.94,100,79,7,284,95,"Ruim",50,12,"Sim","Sim"
9.71,134,37,0,27,120,"Bom",49,16,"Sim","Sim"
